"",Sun,11/03/2013,Mon,11/04/2013,Tue,11/05/2013,Wed,11/06/2013,Thu,11/07/2013,Fri,11/08/2013,,Sat,11/09/2013,
"",ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W E,ROAD,W,E,ROAD,W,E
00:00,,,,,,,217,217,310,310,,,,,,
01:00,,,,,,,139,139,182,182,,,,,,
02:00,,,,,,,60,60,80,80,,,,,,
03:00,,,,,,,72,72,95,95,,,,,,
04:00,,,,,,,213,213,221,221,,,,,,
05:00,,,,,,,207,207,277,277,,,,,,
06:00,,,,,,,344,344,393,393,,,,,,
07:00,,,,,,,601,601,585,585,,,,,,
08:00,,,,,,,439,439,489,489,,,,,,
09:00,,,,,,,392,392,389,389,,,,,,
10:00,,,,,,,413,413,413,413,,,,,,
11:00,,,,,,,443,443,480,480,,,,,,
12:00,,,,,,,499,499,572,572,,,,,,
13:00,,,,,,,556,556,712,712,,,,,,
14:00,,,,,,,701,701,670,670,,,,,,
15:00,,,,,,,624,624,732,732,,,,,,
16:00,,,,,,,603,603,696,696,,,,,,
17:00,,,,,,,623,623,703,703,,,,,,
18:00,,,,,,,605,605,724,724,,,,,,
19:00,,,,,,,529,529,600,600,,,,,,
20:00,,,,,,,426,426,481,481,,,,,,
21:00,,,,,,,364,364,443,443,,,,,,
22:00,,,,,,,365,365,428,428,,,,,,
23:00,,,,,,,361,361,313,313,,,,,,
Volume,,,,,,,"9,796","9,796","10,988","10,988",,,,,,
AM Peak Vol,,,,,,,629,629,597,597,,,,,,
AM Peak Fct,,,,,,,0.91,0.91,0.91,0.91,,,,,,
AM Peak Hr,,,,,,,7:15,7:15,7:15,7:15,,,,,,
PM Peak Vol,,,,,,,701,701,783,783,,,,,,
PM Peak Fct,,,,,,,0.90,0.90,0.82,0.82,,,,,,
PM Peak Hr,,,,,,,14:00,14:00,15:15,15:15,,,,,,
Seasonal Fct,,,,,,,0.998,0.998,0.998,0.998,,,,,,
Daily Fct,,,,,,,0.868,0.868,1.035,1.035,,,,,,
Axle Fct,,,,,,,0.494,0.494,0.494,0.494,,,,,,
Pulse Fct,,,,,,,2.000,2.000,2.000,2.000,,,,,,
