Hour,Monday,Tuesday,Wednesday,Avg Daily
12am-1 am,32,33,59,41.33
1am -2am,20,33,34,29.00
2am-3am,38,31,39,36.00
3am-4am,51,57,43,50.33
4am-5am,47,57,56,53.33
5am-6am,98,102,90,96.67
6am-7am,131,119,131,127.00
7am-8am,181,176,192,183.00
8am-9am,199,197,190,195.33
9am-10am,186,153,156,165.00
10am-11am,148,168,187,167.67
11am-12am,194,169,187,183.33
12am-1pm,201,188,196,195.00
1pm-2pm,200,224,221,215.00
2pm-3pm,227,217,236,226.67
3pm-4pm,212,232,188,210.67
4pm-5pm,206,205,221,210.67
5pm-6pm,159,140,138,145.67
6pm-7pm,144,102,119,121.67
7pm-8pm,97,91,89,92.33
8pm-9pm,83,103,93,93.00
9pm-10pm,94,93,92,93.00
10pm-11pm,110,123,102,111.67
11pm-12pm,54,54,67,58.33
"# Days",1,1,1,1.00
Daily Total,3112,3067,3126,3101.67
% of AADT,104.82%,103.30%,105.29%,
Hour,Monday,Tuesday,Wednesday,Avg Daily
12am-1 am,32,33,59,41.33
1am -2am,20,33,34,29.00
2am-3am,38,31,39,36.00
3am-4am,51,57,43,50.33
4am-5am,47,57,56,53.33
5am-6am,98,102,90,96.67
6am-7am,131,119,131,127.00
7am-8am,181,176,192,183.00
8am-9am,199,197,190,195.33
9am-10am,186,153,156,165.00
10am-11am,148,168,187,167.67
11am-12am,194,169,187,183.33
12am-1pm,201,188,196,195.00
1pm-2pm,200,224,221,215.00
2pm-3pm,227,217,236,226.67
3pm-4pm,212,232,188,210.67
4pm-5pm,206,205,221,210.67
5pm-6pm,159,140,138,145.67
6pm-7pm,144,102,119,121.67
7pm-8pm,97,91,89,92.33
8pm-9pm,83,103,93,93.00
9pm-10pm,94,93,92,93.00
10pm-11pm,110,123,102,111.67
11pm-12pm,54,54,67,58.33
"# Days",1,1,1,1.00
Daily Total,3112,3067,3126,3101.67
% of AADT,104.82%,103.30%,105.29%,
