"",Sun,10/09/2016,,Mon,10/10/2016,Tue,10/11/2016,,Wed,10/12/2016,,Thu,10/13/2016,,Fri,10/14/2016,,Sat,10/15/2016,
"",ROAD,N,S,ROAD,N S,ROAD,N S,,ROAD,N S,,ROAD,N S,,ROAD,N,S,ROAD,N,S
00:00,,,,,,,,,32,32,,57,57,,,,,,,
01:00,,,,,,,,,21,21,,27,27,,,,,,,
02:00,,,,,,,,,49,49,,71,71,,,,,,,
03:00,,,,,,,,,142,142,,181,181,,,,,,,
04:00,,,,,,,,,248,248,,298,298,,,,,,,
05:00,,,,,,,,,268,268,,302,302,,,,,,,
06:00,,,,,,,,,237,237,,238,238,,,,,,,
07:00,,,,,,,,,233,233,,266,266,,,,,,,
08:00,,,,,,,,,213,213,,222,222,,,,,,,
09:00,,,,,,,,,200,200,,177,177,,,,,,,
10:00,,,,,,,,,220,220,,212,212,,,,,,,
11:00,,,,,,233,233,,182,182,,,,,,,,,,
12:00,,,,,,265,265,,275,275,,,,,,,,,,
13:00,,,,,,213,213,,214,214,,,,,,,,,,
14:00,,,,,,301,301,,313,313,,,,,,,,,,
15:00,,,,,,326,326,,346,346,,,,,,,,,,
16:00,,,,,,293,293,,305,305,,,,,,,,,,
17:00,,,,,,291,291,,310,310,,,,,,,,,,
18:00,,,,,,280,280,,274,274,,,,,,,,,,
19:00,,,,,,211,211,,241,241,,,,,,,,,,
20:00,,,,,,230,230,,251,251,,,,,,,,,,
21:00,,,,,,193,193,,212,212,,,,,,,,,,
22:00,,,,,,141,141,,159,159,,,,,,,,,,
23:00,,,,,,78,78,,83,83,,,,,,,,,,
Volume,,,,,,"3,055","3,055",,"5,028","5,028",,"2,051","2,051",,,,,,,
AM Peak Vol,,,,,,,,,273,273,,,,,,,,,,
AM Peak Fct,,,,,,,,,0.74,0.74,,,,,,,,,,
AM Peak Hr,,,,,,,,,5:45,5:45,,,,,,,,,,
PM Peak Vol,,,,,,341,341,,360,360,,,,,,,,,,
PM Peak Fct,,,,,,0.83,0.83,,0.91,0.91,,,,,,,,,,
PM Peak Hr,,,,,,14:45,14:45,,14:45,14:45,,,,,,,,,,
Seasonal Fct,,,,,,0.931,0.931,,0.931,0.931,,0.931,0.931,,,,,,,
Daily Fct,,,,,,0.939,0.939,,0.932,0.932,,0.905,0.905,,,,,,,
Axle Fct,,,,,,0.490,0.490,,0.490,0.490,,0.490,0.490,,,,,,,
Pulse Fct,,,,,,2.000,2.000,,2.000,2.000,,2.000,2.000,,,,,,,
