"",Sun,01/26/2014,Mon,01/27/2014,Tue,01/28/2014,Wed,01/29/2014,Thu,01/30/2014,Fri,01/31/2014,,Sat,02/01/2014,
"",ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S N,ROAD,S,N,ROAD,S,N
00:00,,,,,239,239,190,190,,,,,,,,
01:00,,,,,160,160,125,125,,,,,,,,
02:00,,,,,128,128,118,118,,,,,,,,
03:00,,,,,200,200,184,184,,,,,,,,
04:00,,,,,349,349,332,332,,,,,,,,
05:00,,,,,628,628,559,559,,,,,,,,
06:00,,,,,778,778,774,774,,,,,,,,
07:00,,,,,955,955,949,949,,,,,,,,
08:00,,,,,845,845,781,781,,,,,,,,
09:00,,,,,631,631,695,695,,,,,,,,
10:00,,,,,691,691,677,677,,,,,,,,
11:00,,,,,734,734,696,696,,,,,,,,
12:00,,,,,779,779,755,755,,,,,,,,
13:00,,,,,840,840,906,906,,,,,,,,
14:00,,,,,893,893,947,947,,,,,,,,
15:00,,,,,907,907,"1,017","1,017",,,,,,,,
16:00,,,,,911,911,"1,076","1,076",,,,,,,,
17:00,,,,,845,845,971,971,,,,,,,,
18:00,,,,,703,703,830,830,,,,,,,,
19:00,,,,,645,645,735,735,,,,,,,,
20:00,,,,,524,524,623,623,,,,,,,,
21:00,,,,,567,567,570,570,,,,,,,,
22:00,,,,,430,430,463,463,,,,,,,,
23:00,,,,,322,322,368,368,,,,,,,,
Volume,,,,,"14,704","14,704","15,341","15,341",,,,,,,,
AM Peak Vol,,,,,"1,031","1,031",949,949,,,,,,,,
AM Peak Fct,,,,,0.92,0.92,0.91,0.91,,,,,,,,
AM Peak Hr,,,,,7:30,7:30,7:00,7:00,,,,,,,,
PM Peak Vol,,,,,974,974,"1,113","1,113",,,,,,,,
PM Peak Fct,,,,,0.86,0.86,0.94,0.94,,,,,,,,
PM Peak Hr,,,,,15:30,15:30,15:45,15:45,,,,,,,,
Seasonal Fct,,,,,1.066,1.066,1.066,1.066,,,,,,,,
Daily Fct,,,,,0.884,0.884,0.860,0.860,,,,,,,,
Axle Fct,,,,,0.496,0.496,0.496,0.496,,,,,,,,
Pulse Fct,,,,,2.000,2.000,2.000,2.000,,,,,,,,
